sku,Hering_preço,Hering_url,worldtenis_preço,worldtenis_url
Tenis AAA,259.99,https://www.hering.com.br/store/pt/p/tenis-masculino-hering-basicos-do-brasil-KFM8AU6SN3,199.9,https://www.wtennis.com.br/catalog/product/view/id/120703/s/tenis-asics-fantasy-4-ps-infantil-casual-ag-13-1015302-25159/?ai=134&oi=200
Tenis BBB,259.99,https://www.hering.com.br/store/pt/p/tenis-masculino-hering-reuse-KFM9S03SN3,199.9,https://www.wtennis.com.br/catalog/product/view/id/120712/s/tenis-asics-fantasy-4-ps-infantil-casual-ag-13-1015302-25160/?ai=134&oi=639
Tenis CCC,,,199.9,https://www.wtennis.com.br/catalog/product/view/id/120862/s/tenis-asics-fantasy-4-ps-infantil-casual-ag-13-1015302-25161/?ai=134&oi=249
